group,run,alpha,sub,subID,gender,age,ethnicity,gen_soph,intern,powo,chance,play,seek,care,fear,anger,sadness,spirit,sdDiff,grooveDiff,syncDiff,likeDiff,inflDiff,diffDiff,syncOthersDiff,groove,sync,likeCont,degDiff,degInfl,syncOthers,sdDiff_abs,rank,exp
011385aa_011385bb_011385cc_011385dd,18,1,1_011385aa_011385bb_011385cc_011385dd,011385aa,Female,20,Asian,66,35,38,31,3,2.66666666666667,3.75,4.2,2.5,4.5,4,62.1584816575915,-0.595011792908223,-1.24080796416512,-0.884044817367393,-0.399877248196414,0.791556883931962,-1.06760504772221,-0.765559002350953,-1.42480707043793,-2.01186954040739,1.12687233963802,-0.633865691046387,-1.33892385400916,62.1584816575915,3,3
011385aa_011385bb_011385cc_011385dd,18,1,2_011385aa_011385bb_011385cc_011385dd,011385bb,Female,21,Asian,47,26,17,23,4,4,4,3.8,2.33333333333333,2.83333333333333,2,41.3410969410727,-0.429753015744934,0.13508165574868,-0.0511415147977909,0.0157705526139811,0.0539340163747012,0.734228856173223,-0.600300225187664,-0.0489174505241358,-1.17896623783779,0.389249472080762,-0.218217890235992,0.462910049886276,41.3410969410727,4,3
011385aa_011385bb_011385cc_011385dd,18,1,3_011385aa_011385bb_011385cc_011385dd,011385cc,Female,20,Asian,88,40,20,31,3.83333333333333,3.16666666666667,4.25,4.4,3.16666666666667,3.5,1.33333333333333,1.39593712105366,1.21936597088054,1.25978890403503,0.263797073712824,0.719516876106189,-0.848237146492009,0.480911293553735,1.04881876143781,1.07578979776221,-0.864027649327175,-0.512921690785949,0.485528433256216,0.209592487266788,1.39593712105366,2,3
011385aa_011385bb_011385cc_011385dd,18,1,4_011385aa_011385bb_011385cc_011385dd,011385dd,Female,19,Asian,73,24,24,30,3.83333333333333,2.83333333333333,3.25,4,3,3.5,3,15.6432612877254,-0.194601162227381,-0.15406259561859,0.67138925845236,-0.335410180523756,0.00274624618534602,-0.147535102004748,-0.365148371670111,-0.338061701891406,-0.456435464587639,0.338061701891406,-0.56939862337373,-0.418853908291696,15.6432612877254,1,3
011385aa_011385bb_011385cc_011385dd,19,0.35,1_011385aa_011385bb_011385cc_011385dd,011385aa,Female,20,Asian,66,35,38,31,3,2.66666666666667,3.75,4.2,2.5,4.5,4,92.7452955480263,-0.854581373604072,-0.726962092555867,-0.884044817367393,-0.399877248196414,1.37929797714751,-0.723148811377599,-0.765559002350953,-0.316623793430652,-2.01186954040739,1.12687233963802,-0.633865691046387,-0.167365481751145,92.7452955480263,4,3
011385aa_011385bb_011385cc_011385dd,19,0.35,2_011385aa_011385bb_011385cc_011385dd,011385bb,Female,21,Asian,47,26,17,23,4,4,4,3.8,2.33333333333333,2.83333333333333,2,40.6736898337997,0.211127741340713,0.568010711357504,-0.0511415147977909,0.0157705526139811,-0.526073306652031,-0.0928732797401791,0.300150112593832,0.978349010482719,-1.17896623783779,-0.778498944161523,-0.218217890235992,0.462910049886276,40.6736898337997,3,3
011385aa_011385bb_011385cc_011385dd,19,0.35,3_011385aa_011385bb_011385cc_011385dd,011385cc,Female,20,Asian,88,40,20,31,3.83333333333333,3.16666666666667,4.25,4.4,3.16666666666667,3.5,1.33333333333333,1.41350733202613,0.00217926017625591,-0.275864574404939,0.263797073712824,0.719516876106189,-0.260496053276457,0.534097604160842,0.0912016314293747,0.134473724720276,-0.864027649327175,-0.512921690785949,0.485528433256216,1.0898809337873,1.41350733202613,2,3
011385aa_011385bb_011385cc_011385dd,19,0.35,4_011385aa_011385bb_011385cc_011385dd,011385dd,Female,19,Asian,73,24,24,30,3.83333333333333,2.83333333333333,3.25,4,3,3.5,3,0.674260178965312,0.641274372087102,0.434815955603302,0.67138925845236,-0.335410180523756,-0.592728617219025,0.281924486956936,0.730296743340221,0.845154254728517,-0.456435464587639,-0.845154254728517,-0.56939862337373,0.837707816583391,0.674260178965312,1,3
011385aa_011385bb_011385cc_011385dd,20,1,1_011385aa_011385bb_011385cc_011385dd,011385aa,Female,20,Asian,66,35,38,31,3,2.66666666666667,3.75,4.2,2.5,4.5,4,79.4872185272284,-0.0674545335967973,-0.474345938489169,0.979893139186514,-1.8828100541166,0.495752894776981,-0.847532936092082,-0.765559002350953,-1.42480707043793,0.473381068331151,1.12687233963802,-2.11288563682129,-1.33892385400916,79.4872185272284,3,3
011385aa_011385bb_011385cc_011385dd,20,1,2_011385aa_011385bb_011385cc_011385dd,011385bb,Female,21,Asian,47,26,17,23,4,4,4,3.8,2.33333333333333,2.83333333333333,2,18.9832685908937,0.998254581347988,0.901543681424628,-0.672454166982426,0.0118576924686969,-0.24186997278028,0.95430096780335,0.300150112593832,-0.0489174505241358,-1.17896623783779,0.389249472080762,-0.218217890235992,0.462910049886276,18.9832685908937,2,3
011385aa_011385bb_011385cc_011385dd,20,1,3_011385aa_011385bb_011385cc_011385dd,011385cc,Female,20,Asian,88,40,20,31,3.83333333333333,3.16666666666667,4.25,4.4,3.16666666666667,3.5,1.33333333333333,8.53004142333963,-0.168311029824903,0.143618783627106,-0.357515578471812,0.715604015960905,-1.14404113564699,-0.179305041336646,-0.866415498579059,-0.806842348321658,-0.864027649327175,-0.512921690785949,0.485528433256216,-0.670695959253721,8.53004142333963,1,3
011385aa_011385bb_011385cc_011385dd,20,1,4_011385aa_011385bb_011385cc_011385dd,011385dd,Female,19,Asian,73,24,24,30,3.83333333333333,2.83333333333333,3.25,4,3,3.5,3,97.7494682652771,-0.762489017926287,-0.570816526562566,0.0500766062677243,1.155348345687,0.890158213650288,0.0725370096253788,-1.46059348668044,-1.52127765851133,-0.456435464587639,1.52127765851133,0.925272762982311,-0.418853908291696,97.7494682652771,4,3
011385aa_011385bb_011385cc_011385dd,21,0,1_011385aa_011385bb_011385cc_011385dd,011385aa,Female,20,Asian,66,35,38,31,3,2.66666666666667,3.75,4.2,2.5,4.5,4,75.7945402494625,-0.375772808599855,0.000512559216814146,0.979893139186514,1.21919256605379,-0.391659072687962,-0.0629324764872175,-0.765559002350953,-0.316623793430652,0.473381068331151,-0.845154254728517,0.845154254728517,-0.167365481751145,75.7945402494625,4,3
